289: 3.001900, 3.608456 avg, 0.000007 rate, 4.918656 seconds, 18496 images
290: 3.503509, 3.597961 avg, 0.000007 rate, 4.922100 seconds, 18560 images
291: 3.313187, 3.569484 avg, 0.000007 rate, 4.765014 seconds, 18624 images
292: 3.719198, 3.584455 avg, 0.000007 rate, 4.915602 seconds, 18688 images
293: 2.866768, 3.512686 avg, 0.000007 rate, 4.915401 seconds, 18752 images
294: 3.757977, 3.537215 avg, 0.000007 rate, 4.916568 seconds, 18816 images
295: 3.408782, 3.524372 avg, 0.000008 rate, 4.921308 seconds, 18880 images
296: 3.494270, 3.521362 avg, 0.000008 rate, 4.919664 seconds, 18944 images
297: 3.000506, 3.469276 avg, 0.000008 rate, 4.919459 seconds, 19008 images
298: 3.346125, 3.456961 avg, 0.000008 rate, 4.918127 seconds, 19072 images
299: 3.378417, 3.449107 avg, 0.000008 rate, 4.921327 seconds, 19136 images
300: 3.582536, 3.462450 avg, 0.000008 rate, 4.914915 seconds, 19200 images
301: 3.307050, 3.446910 avg, 0.000008 rate, 4.420371 seconds, 19264 images
302: 3.417587, 3.443977 avg, 0.000008 rate, 4.569688 seconds, 19328 images
303: 3.367563, 3.436336 avg, 0.000008 rate, 4.573007 seconds, 19392 images
304: 3.212861, 3.413989 avg, 0.000009 rate, 4.572175 seconds, 19456 images
305: 2.952919, 3.367882 avg, 0.000009 rate, 4.572183 seconds, 19520 images
306: 3.166056, 3.347699 avg, 0.000009 rate, 4.570566 seconds, 19584 images
307: 3.279224, 3.340852 avg, 0.000009 rate, 4.572403 seconds, 19648 images
308: 2.976000, 3.304366 avg, 0.000009 rate, 4.570158 seconds, 19712 images
309: 3.199038, 3.293833 avg, 0.000009 rate, 4.571891 seconds, 19776 images
310: 3.638842, 3.328334 avg, 0.000009 rate, 4.571460 seconds, 19840 images
311: 2.571958, 3.252697 avg, 0.000009 rate, 4.421100 seconds, 19904 images
312: 2.794219, 3.206849 avg, 0.000009 rate, 4.575033 seconds, 19968 images
313: 2.974669, 3.183631 avg, 0.000010 rate, 4.569709 seconds, 20032 images
314: 3.151849, 3.180453 avg, 0.000010 rate, 4.575147 seconds, 20096 images
315: 2.946610, 3.157068 avg, 0.000010 rate, 4.571003 seconds, 20160 images
316: 3.265739, 3.167936 avg, 0.000010 rate, 4.570620 seconds, 20224 images
317: 2.780245, 3.129167 avg, 0.000010 rate, 4.572299 seconds, 20288 images
318: 3.351634, 3.151413 avg, 0.000010 rate, 4.573774 seconds, 20352 images
319: 2.999661, 3.136238 avg, 0.000010 rate, 4.569761 seconds, 20416 images
320: 2.695437, 3.092158 avg, 0.000010 rate, 4.571866 seconds, 20480 images
321: 3.050215, 3.087964 avg, 0.000011 rate, 2.961192 seconds, 20544 images
322: 2.926840, 3.071851 avg, 0.000011 rate, 3.054254 seconds, 20608 images
323: 3.221707, 3.086837 avg, 0.000011 rate, 3.054653 seconds, 20672 images
324: 3.214718, 3.099625 avg, 0.000011 rate, 3.055193 seconds, 20736 images
325: 3.046645, 3.094327 avg, 0.000011 rate, 3.055941 seconds, 20800 images
326: 3.091658, 3.094060 avg, 0.000011 rate, 3.053958 seconds, 20864 images
327: 3.523264, 3.136980 avg, 0.000011 rate, 3.055659 seconds, 20928 images
328: 2.858174, 3.109100 avg, 0.000012 rate, 3.056534 seconds, 20992 images
329: 3.134659, 3.111655 avg, 0.000012 rate, 3.055525 seconds, 21056 images
330: 3.392188, 3.139709 avg, 0.000012 rate, 3.055403 seconds, 21120 images
331: 2.674943, 3.093232 avg, 0.000012 rate, 4.756276 seconds, 21184 images
